"name","sku","product_url","image_url","local_path"
"EcoTank L130","C11CE58501","https://www.epson.co.in/For-Home/Printers/EcoTank-Printers/EcoTank-L130-Single-Function-InkTank-Printer/p/C11CE58501","https://mediaserver.goepson.com/adaptivemedia/rendition?id=d19c0fd181c869a4d17636e23c33d5bc5b222897&vid=d19c0fd181c869a4d17636e23c33d5bc5b222897&prid=515Wx515H&clid=SAPDAM&prclid=productpictures&assetDescr=L130","assets\epson-desktop-colour\EcoTank_L130_C11CE58501.png"
"EcoTank L1250","C11CJ71507","https://www.epson.co.in/For-Home/Printers/EcoTank-Printers/EcoTank-L1250-Single-Function-A4-Wi-Fi-Ink-Tank-Printer/p/C11CJ71507","https://mediaserver.goepson.com/adaptivemedia/rendition?id=1e211759fd22b4abe01103ce442209d7f3c4ce7e&vid=1e211759fd22b4abe01103ce442209d7f3c4ce7e&prid=515Wx515H&clid=SAPDAM&prclid=productpictures&assetDescr=L1250-%281%29","assets\epson-desktop-colour\EcoTank_L1250_C11CJ71507.jpg"
"EcoTank L3200","C11CJ69501","https://www.epson.co.in/For-Home/Printers/EcoTank-Printers/Epson-EcoTank-L3200-A4-All-in-One-Ink-Tank-Printer-%28Flipkart-Exclusive%29/p/C11CJ69501","https://mediaserver.goepson.com/adaptivemedia/rendition?id=94f6fafb79f477ac599e44c202f5b345d20779f3&vid=94f6fafb79f477ac599e44c202f5b345d20779f3&prid=515Wx515H&clid=SAPDAM&prclid=productpictures&assetDescr=EKL_L3200_690_460_normal","assets\epson-desktop-colour\EcoTank_L3200_C11CJ69501.jpg"
"EcoTank L3210","C11CJ68506","https://www.epson.co.in/For-Home/Printers/EcoTank-Printers/Epson-EcoTank-L3210-A4-All-in-One-Ink-Tank-Printer/p/C11CJ68506","https://mediaserver.goepson.com/adaptivemedia/rendition?id=d60560b00fe766443f873ee2fdc6da1b9be04f59&vid=d60560b00fe766443f873ee2fdc6da1b9be04f59&prid=515Wx515H&clid=SAPDAM&prclid=productpictures&assetDescr=L3210-%281%29","assets\epson-desktop-colour\EcoTank_L3210_C11CJ68506.jpg"
"EcoTank L3211","C11CJ68507","https://www.epson.co.in/For-Home/Printers/EcoTank-Printers/Epson-EcoTank-L3211-A4-All-in-One-Ink-Tank-Printer%28Amazon-Exclusive%29/p/C11CJ68507","https://mediaserver.goepson.com/adaptivemedia/rendition?id=94f6fafb79f477ac599e44c202f5b345d20779f3&vid=94f6fafb79f477ac599e44c202f5b345d20779f3&prid=515Wx515H&clid=SAPDAM&prclid=productpictures&assetDescr=EKL_L3200_690_460_normal","assets\epson-desktop-colour\EcoTank_L3211_C11CJ68507.jpg"
"EcoTank L3212","C11CJ68508","https://www.epson.co.in/For-Home/Printers/EcoTank-Printers/Epson-EcoTank-L3212-A4-All-in-One-Ink-Tank-Printer/p/C11CJ68508","https://mediaserver.goepson.com/adaptivemedia/rendition?id=d60560b00fe766443f873ee2fdc6da1b9be04f59&vid=d60560b00fe766443f873ee2fdc6da1b9be04f59&prid=515Wx515H&clid=SAPDAM&prclid=productpictures&assetDescr=L3210-%281%29","assets\epson-desktop-colour\EcoTank_L3212_C11CJ68508.jpg"
"EcoTank L3215","C11CJ68509","https://www.epson.co.in/For-Home/Printers/EcoTank-Printers/Epson-EcoTank-L3215-A4-All-in-One-Ink-Tank-Printer/p/C11CJ68509","https://mediaserver.goepson.com/adaptivemedia/rendition?id=39e87bbcd25b240a6bc3d7a8d1f22e6a0a689c0e&vid=39e87bbcd25b240a6bc3d7a8d1f22e6a0a689c0e&prid=515Wx515H&clid=SAPDAM&prclid=productpictures&assetDescr=L3215+3255","assets\epson-desktop-colour\EcoTank_L3215_C11CJ68509.png"
"EcoTank L3216","C11CJ68511","https://www.epson.co.in/For-Home/Printers/EcoTank-Printers/Epson-EcoTank-L3216-A4-All-in-One-Ink-Tank-Printer/p/C11CJ68511","https://mediaserver.goepson.com/adaptivemedia/rendition?id=2d7290f36d5226edc2e05888dc0a238a23ace914&vid=2d7290f36d5226edc2e05888dc0a238a23ace914&prid=515Wx515H&clid=SAPDAM&prclid=productpictures&assetDescr=L3216-%281%29","assets\epson-desktop-colour\EcoTank_L3216_C11CJ68511.jpg"
"EcoTank L3250","C11CJ67508","https://www.epson.co.in/For-Home/Printers/EcoTank-Printers/Epson-EcoTank-L3250-A4-Wi-Fi-All-in-One-Ink-Tank-Printer/p/C11CJ67508","https://mediaserver.goepson.com/adaptivemedia/rendition?id=3679c7960a7a7a1feea5c47e1ee23470f69c52b0&vid=3679c7960a7a7a1feea5c47e1ee23470f69c52b0&prid=515Wx515H&clid=SAPDAM&prclid=productpictures&assetDescr=L3250-%281%29","assets\epson-desktop-colour\EcoTank_L3250_C11CJ67508.jpg"
"EcoTank L3251","C11CJ67509","https://www.epson.co.in/For-Home/Printers/EcoTank-Printers/Epson-EcoTank-L3251-A4-Wi-Fi-All-in-One-Ink-Tank-Printer-%28Flipkart-Exclusive%29/p/C11CJ67509","https://mediaserver.goepson.com/adaptivemedia/rendition?id=3679c7960a7a7a1feea5c47e1ee23470f69c52b0&vid=3679c7960a7a7a1feea5c47e1ee23470f69c52b0&prid=515Wx515H&clid=SAPDAM&prclid=productpictures&assetDescr=L3250-%281%29","assets\epson-desktop-colour\EcoTank_L3251_C11CJ67509.jpg"
"EcoTank L3252","C11CJ67511","https://www.epson.co.in/For-Home/Printers/EcoTank-Printers/Epson-EcoTank-L3252-A4-Wi-Fi-All-in-One-Ink-Tank-Printer-%28Amazon-Exclusive%29/p/C11CJ67511","https://mediaserver.goepson.com/adaptivemedia/rendition?id=3679c7960a7a7a1feea5c47e1ee23470f69c52b0&vid=3679c7960a7a7a1feea5c47e1ee23470f69c52b0&prid=515Wx515H&clid=SAPDAM&prclid=productpictures&assetDescr=L3250-%281%29","assets\epson-desktop-colour\EcoTank_L3252_C11CJ67511.jpg"
"EcoTank L3255","C11CJ67512","https://www.epson.co.in/For-Home/Printers/EcoTank-Printers/Epson-EcoTank-L3255-A4-Wi-Fi-All-in-One-Ink-Tank-Printer/p/C11CJ67512","https://mediaserver.goepson.com/adaptivemedia/rendition?id=39e87bbcd25b240a6bc3d7a8d1f22e6a0a689c0e&vid=39e87bbcd25b240a6bc3d7a8d1f22e6a0a689c0e&prid=515Wx515H&clid=SAPDAM&prclid=productpictures&assetDescr=L3215+3255","assets\epson-desktop-colour\EcoTank_L3255_C11CJ67512.png"
"EcoTank L3256","C11CJ67513","https://www.epson.co.in/For-Home/Printers/EcoTank-Printers/EcoTank-L3256-Wi-Fi-Multifunction-InkTank-Printer/p/C11CJ67513","https://mediaserver.goepson.com/adaptivemedia/rendition?id=a6cc6455cedfdedd70f90885592c1a9ff8c63aa5&vid=a6cc6455cedfdedd70f90885592c1a9ff8c63aa5&prid=515Wx515H&clid=SAPDAM&prclid=productpictures&assetDescr=L3256","assets\epson-desktop-colour\EcoTank_L3256_C11CJ67513.png"
"EcoTank L3260","C11CJ66511","https://www.epson.co.in/For-Home/Printers/EcoTank-Printers/Epson-EcoTank-L3260-A4-Wi-Fi-All-in-One-Ink-Tank-Printer/p/C11CJ66511","https://mediaserver.goepson.com/adaptivemedia/rendition?id=275bc1edc07b7716321b0647b12db8e0043fd36d&vid=275bc1edc07b7716321b0647b12db8e0043fd36d&prid=515Wx515H&clid=SAPDAM&prclid=productpictures&assetDescr=L3260_SPT_C11CJ66301_384x286","assets\epson-desktop-colour\EcoTank_L3260_C11CJ66511.png"
